名称,面积,租价,房型,位置
军博会城门小区1室1厅 近菜市场木樨地,41㎡,5300,1  室  1  厅,"
                    会城门小区                "
回龙观 霍营 两居 8号线地铁育知路站 云趣园二区2室1厅,106㎡,5980,2  室  1  厅,"
                    云趣园二区                "
牛街 平原里小区 电梯两居 陶然亭站 随时看,64㎡,6500,2  室  1  厅,"
                    平原里小区                "
回龙观龙泽霍营地铁8号线育知路站 云趣园二区2室1厅精装修,93㎡,5400,2  室  1  厅,"
                    云趣园二区                "
天通苑天通公园里2室1厅,56㎡,5600,2  室  1  厅,"
                    天通公园里                "
四惠壹线国际惠润园2室1厅,75㎡,6700,2  室  1  厅,"
                    壹线国际惠润园                "
回龙观云趣园三区2室1厅,94㎡,6350,2  室  1  厅,"
                    云趣园三区                "
安贞胜古北里精装2室1厅 ，周边配套齐全，近地铁。,59㎡,7600,2  室  1  厅,"
                    胜古北里                "
万达对面 老山东里精装2室1厅 近地铁一号线,54㎡,5000,2  室  1  厅,"
                    老山东里                "
四惠东 甘露园甘露园南里一区2室1厅 户型好,63.44㎡,6000,2  室  1  厅,"
                    甘露园南里一区                "
望京西园一区电梯楼两居室，精装修拎包入住，紧靠望京站,82.68㎡,8200,2  室  1  厅,"
                    望京西园一区                "
定福庄妇联小区1室1厅,45㎡,4500,1  室  1  厅,"
                    妇联小区                "
邻近地铁公园、无浪费面积、视野无遮挡、位置安静,65㎡,5500,2  室  1  厅,"
                    老山东里                "
望京东湖渠利泽西园1室1厅,50㎡,6400,1  室  1  厅,"
                    利泽西园                "
安德路47号院、中间楼层3居神华集团、中粮置地、青年湖公园,70.81㎡,9500,3  室  1  厅,"
                    安德路47号院                "
金融街华远北街1号1室1厅,58㎡,8900,1  室  1  厅,"
                    华远北街1号                "
广安门西豪逸景2室1厅,79㎡,8500,2  室  1  厅,"
                    西豪逸景                "
东坝（悦和园）精装修1居 南向 干净卫生 电梯房 集中供暖,61㎡,4900,1  室  1  厅,"
                    朝新嘉园西里                "
广安门朗琴园2室1厅,58㎡,7000,2  室  1  厅,"
                    朗琴园                "
老山老山西里2室1厅，精装修，南北通透户型，近地铁一号线八角,50.25㎡,4400,2  室  1  厅,"
                    老山西里                "
建国门外东方瑞景2室1厅,84.12㎡,12000,2  室  1  厅,"
                    东方瑞景                "
回龙观8号线育知路站 龙禧苑一区 南北通透一居室,65㎡,5100,1  室  1  厅,"
                    龙禧苑一区                "
万寿路复兴路61号院3室1厅,77㎡,9300,3  室  1  厅,"
                    复兴路61号院                "
姚家园汇通时代达美酒仙桥 东坝上东上品2室1厅出租,90.71㎡,5200,2  室  1  厅,"
                    上东上品                "
建国门外国贸 长安驿 南向 开间，房子采光好 无遮挡,45.47㎡,7500,1  室  1  厅,"
                    长安驿                "
石景山鲁谷 七星园 新华社电梯房 朝南向超大两居 空房可配齐,97㎡,6200,2  室  1  厅,"
                    七星园                "
工体朝阳区东直门外大街2室1厅,64㎡,8200,2  室  1  厅,"
                    朝阳区东直门外大街                "
望京南湖中园二区2室1厅，两个卧室带阳台 中间层,68.9㎡,7400,2  室  1  厅,"
                    南湖中园二区                "
定福庄妇联小区2室1厅,70㎡,5600,2  室  1  厅,"
                    妇联小区                "
常营北京新天地四期1室1厅,77.44㎡,6200,1  室  1  厅,"
                    北京新天地四期                "
天通苑天通苑东一区2室1厅,92㎡,5800,2  室  1  厅,"
                    天通苑东一区                "
甘露园甘露园南里一区2室1厅,56.33㎡,6000,2  室  1  厅,"
                    甘露园南里一区                "
三元桥地铁附近 三源里街小区 采光好 拎包入住,47㎡,5500,1  室  1  厅,"
                    三源里街                "
长阳长阳半岛紫云家园怡和南路10号院3室1厅,102.67㎡,5800,3  室  2  厅,"
                    长阳半岛紫云家园怡和南路10号院                "
新上8号线安华桥南北通透两居，长期稳定出租，看房方便。,58㎡,6900,2  室  1  厅,"
                    安华西里一区                "
常营北京新天地五期2室2厅,95㎡,8000,2  室  2  厅,"
                    北京新天地五期                "
九棵树(家乐福)瑞都国际1室1厅,66.07㎡,4500,1  室  1  厅,"
                    瑞都国际                "
近地铁+干净整洁+业主直租+提前预约看房,49.66㎡,5300,1  室  1  厅,"
                    芳城园三区                "
紫云家园怡和路8号院精装修两居，家具家电全齐，拎包即住,87.26㎡,4400,2  室  1  厅,"
                    长阳半岛紫云家园怡和路8号院                "
马家堡西马金润家园二区1室0厅,41.87㎡,4200,1  室  0  厅,"
                    西马金润家园二区                "
良乡佳世苑北区2室1厅,96㎡,3500,2  室  1  厅,"
                    佳世苑北区                "
中关村科育小区2室1厅,52㎡,8700,2  室  1  厅,"
                    科育小区                "
小西天文慧园路甲2号院2室1厅,51㎡,7200,2  室  1  厅,"
                    文慧园路甲2号院                "
牡丹园地铁健德门地铁月季园小区朝南一居室,46.2㎡,6600,1  室  1  厅,"
                    马甸月季园                "
玉泉路田村玉泉新城3室2卫，有车位，希望找长租的一家人,117㎡,12000,3  室  1  厅,"
                    玉泉新城国防大学北院                "
金融街金宸公寓3室2厅,206㎡,45000,3  室  2  厅,"
                    金宸公寓                "
二里庄志新村小区三居室 精装修 温馨舒适,80㎡,12800,3  室  1  厅,"
                    志新村小区                "
后沙峪双裕小区3室1厅,80㎡,6000,3  室  1  厅,"
                    双裕小区                "
广安门外 达官营站 精装一居室 家具齐全,58㎡,7000,1  室  1  厅,"
                    朗琴园                "
丽泽商务区中心 菜户营诺 德家园2室1厅,90㎡,8300,2  室  1  厅,"
                    诺德家园                "
国展MASTER领寓1室1厅,58㎡,6300,1  室  1  厅,"
                    MASTER领寓                "
回龙观 龙泽 育知路云趣园一区 两居室 交通便利 南北通透,100㎡,6200,2  室  1  厅,"
                    云趣园一区                "
东花市东花市北里中区1室1厅,47㎡,5600,1  室  1  厅,"
                    东花市北里中区                "
北苑茉藜园2室1厅,98㎡,7500,2  室  1  厅,"
                    茉藜园                "
木樨地南里3室1厅 公安大学家属院 精装修 临双地铁,98㎡,14000,3  室  1  厅,"
                    木樨地南里                "
常营管庄站 新天地精装修南向两居 可以长租集中供暖 随时看,93.42㎡,6800,2  室  2  厅,"
                    北京新天地四期                "
东坝朝阳新城五区3室1厅,119㎡,6500,3  室  1  厅,"
                    朝阳新城五区                "
星源国际71.9平米大开间，户型好有独立厨房跟卫生间,71.9㎡,7300,1  室  0  厅,"
                    星源国际                "
回龙观流星花园三区3室1厅,115㎡,8200,3  室  1  厅,"
                    流星花园三区                "
刘家窑筑梦园1室1厅,56㎡,5600,1  室  1  厅,"
                    筑梦园                "
百子湾百子湾家园B区2室1厅，国贸四惠大郊亭双井劲松,103㎡,8000,2  室  1  厅,"
                    百子湾家园B区                "
玉泉路玉泉路19号院1室1厅,54㎡,4200,1  室  1  厅,"
                    玉泉路19号院                "
长椿街槐柏树街南里2室1厅,59.65㎡,8000,2  室  1  厅,"
                    槐柏树街南里                "
军博会城门小区带电梯2室1厅,62㎡,7100,2  室  1  厅,"
                    会城门小区                "
和平里和平里东街15号院2室1厅,53.64㎡,7000,2  室  1  厅,"
                    和平里东街15号院                "
工体三号开间，紧邻工体纯K，三里屯，永利国际，蓝筹名座新金山,35㎡,4800,1  室  1  厅,"
                    工体三号                "
北三环 安贞门 地铁10号线 安贞医院 南向一居室,43㎡,6500,1  室  1  厅,"
                    安贞里小区                "
国展香河园中里1室1厅,42.59㎡,5600,1  室  1  厅,"
                    香河园中里                "
知春路蓟门里东区1室1厅,45.3㎡,6300,1  室  1  厅,"
                    蓟门里东区                "
垡头双合家园D区2室2厅一卫南北向大两居室，家具全齐,89.81㎡,6200,2  室  2  厅,"
                    双合家园D区                "
四惠壹线国际惠泽园1室0厅,40㎡,5500,1  室  0  厅,"
                    壹线国际惠泽园                "
望京上京新航线3室2厅，精装修，交通便利，配套齐全。,171.8㎡,19000,3  室  2  厅,"
                    上京新航线                "
太平桥金唐国际1室1厅,60㎡,6200,1  室  1  厅,"
                    金唐国际                "
